city,country,lat,lng,cloudiness,humidity,max_temp,wind_speed
saint george,US,37.1,-113.58,1,13,102.2,13.87
palauig,PH,15.44,119.9,93,72,83.37,2.55
ushuaia,AR,-54.8,-68.3,75,80,33.8,21.92
provideniya,RU,64.38,-173.3,90,93,51.8,4.47
rikitea,PF,-23.12,-134.97,78,75,72.25,11.12
dikson,RU,73.51,80.55,55,84,39.61,13.56
santa rosa,PH,14.31,121.11,100,95,79,1.68
belushya guba,RU,71.97,102.5,0,65,48.24,6.87
khatanga,SE,60.67,17.14,41,79,55.99,4.23
gavle,CL,-29.95,-71.34,0,76,57.2,10.29
coquimbo,CL,-37.62,-73.65,6,70,46.22,12.41
lebu,RU,44.04,39.15,53,74,75.34,3.11
shepsi,MU,-20.41,57.7,40,88,66.2,4.7
mahebourg,ZA,-34.53,20.04,0,93,41,3.36
bredasdorp,HK,22.29,114.16,51,79,84,5.01
victoria,DZ,36.1,0.42,0,73,75.09,4.61
sidi ali,PT,38.52,-28.7,4,86,74.86,4.56
ribeira grande,BR,-17.71,-39.25,10,75,70.34,5.23
caravelas,LK,7.42,81.82,100,90,76.78,9.19
kalmunai,UY,-33.7,-53.46,52,86,50.22,6.15
chuy,MG,-25.17,45.05,0,89,57.81,3.44
beloha,TO,-21.2,-175.2,75,88,71.6,12.75
taolanaro,CL,-53.15,-70.92,40,55,37.4,11.41
vaini,RU,61.67,96.37,88,80,55.06,1.68
punta arenas,MY,5.41,100.34,20,94,80.6,9.53
baykit,RE,-21.36,55.77,94,77,68,5.23
georgetown,AR,-39.03,-67.58,0,45,48.2,8.05
saint-philippe,PG,-2.02,147.27,17,74,82.65,0.89
general roca,CA,63.75,-68.51,75,82,55.4,3.36
lorengau,BR,-22.85,-43.78,0,50,78.8,5.82
iqaluit,AR,-26.79,-60.44,49,72,63.73,6.8
itaguai,US,42.1,-79.24,40,78,81,11.41
presidencia roque saenz pena,AR,-38,-57.56,20,75,44.01,9.17
jamestown,CN,21.48,109.1,100,73,86.47,9.62
guelengdeng,NA,-28.55,16.43,0,73,58.53,4.16
mar del plata,RU,54.72,135.31,97,73,66.88,9.26
beihai,ID,4.14,96.13,100,95,74.62,3.58
oranjemund,ID,-3.33,128.92,90,84,78.03,5.77
chumikan,LY,29.11,21.29,0,43,81.01,16.22
meulaboh,RU,63.05,179.32,0,54,68.34,1.66
amahai,BR,-24.79,-50.01,100,76,60.4,4.88
awjilah,NZ,-46.6,168.33,100,83,39,3
beringovskiy,RU,56.24,43.46,0,93,61,2.24
castro,JP,35.73,140.83,75,88,79,4.7
yeletskiy,NO,70.37,31.11,0,82,57.2,9.17
bluff,RU,69.49,88.4,23,62,51.8,6.71
dzerzhinsk,CN,23.05,112.46,40,99,84.99,1.21
hasaki,BR,-22.97,-42.03,0,64,75.2,12.75
vardo,SO,7.98,49.82,14,68,80.73,17.34
talnakh,AU,-14.25,129.55,34,27,67.6,15.82
zhaoqing,RU,54.34,101.5,6,91,55.45,6.49
arraial do cabo,CF,3.87,17.99,74,95,69.85,0.6
eyl,LY,30.76,20.23,0,82,72.34,9.98
port keats,CA,55.74,-97.86,75,72,62.6,11.41
kuytun,CA,65.28,-126.83,75,38,73.4,8.05
mbaiki,US,42.6,-73.97,15,55,97,7.07
ajdabiya,PF,-9.8,-139.03,1,71,79.63,25.23
thompson,US,43.8,-91.24,40,35,86,16.11
norman wells,NG,8.93,8.6,98,95,72.18,1.32
albany,ZA,-34.42,19.23,0,86,50,6.69
atuona,CN,41.76,86.15,77,83,78.01,4
la crosse,RU,62.88,152.43,32,51,74.86,3.96
wamba,NZ,-46.19,168.86,100,83,39,3
sentyabrskiy,PT,38.73,-27.07,20,83,77,4.25
hermanus,US,22.08,-159.32,90,88,82.4,23.04
